idVenta,Cliente,Genero,Edad,Producto,Categoria,Region,Cantidad,PrecioUnitario,Total,Fecha
40,Cliente_M_99,M,49,Producto_135,Categoria_28,Region_44,3,103.11,309.33,2025-07-12
74,Cliente_F_5,F,18,Producto_281,Categoria_21,Region_50,5,48.79,243.95,2025-05-17
42,Cliente_M_53,M,36,Producto_114,Categoria_57,Region_28,2,21.4,42.8,2025-01-01
43,Cliente_M_53,M,30,Producto_29,Categoria_93,Region_16,2,166.49,332.98,2025-03-13
44,Cliente_M_53,M,23,Producto_263,Categoria_55,Region_48,4,60.61,242.44,2025-04-11
45,Cliente_M_53,M,28,Producto_161,Categoria_19,Region_8,5,31.56,157.8,2025-05-10
46,Cliente_M_53,M,70,Producto_4,Categoria_8,Region_6,2,52.05,104.1,2025-11-11
47,Cliente_M_53,M,34,Producto_263,Categoria_89,Region_27,2,103.68,207.36,2025-06-17
48,Cliente_M_53,M,52,Producto_68,Categoria_77,Region_41,4,36.92,147.68,2025-08-19
49,Cliente_M_53,M,37,Producto_263,Categoria_26,Region_19,3,153.82,461.46,2025-11-09
50,Cliente_M_53,M,28,Producto_68,Categoria_69,Region_30,2,109.92,219.84,2025-09-08
74,Cliente_F_5,F,18,Producto_281,Categoria_21,Region_50,5,48.79,243.95,2025-05-17
52,Cliente_M_100,M,62,Producto_300,Categoria_97,Region_31,4,192.12,768.48,2025-03-07
53,Cliente_M_100,M,27,Producto_300,Categoria_49,Region_23,4,59.92,239.68,2025-12-28
54,Cliente_M_100,M,18,Producto_300,Categoria_96,Region_13,1,137.68,137.68,2025-01-13
55,Cliente_M_100,M,28,Producto_145,Categoria_40,Region_36,2,66.42,132.84,2025-10-17
56,Cliente_M_100,M,120,Producto_116,Categoria_53,Region_42,3,98.31,294.93,2025-01-03
57,Cliente_M_100,M,55,Producto_254,Categoria_50,Region_10,5,173.65,868.25,2025-06-24
58,Cliente_M_100,M,27,Producto_145,Categoria_90,Region_1,2,189.64,379.28,2025-04-03
59,Cliente_M_100,M,42,Producto_58,Categoria_76,Region_49,4,198.43,793.72,2025-07-11
60,Cliente_M_100,M,34,Producto_116,Categoria_71,Region_3,3,122.79,368.37,2025-06-12
61,Cliente_F_14,F,27,Producto_37,Categoria_70,Region_14,1,117.28,117.28,2025-01-14
62,Cliente_F_14,F,65,Producto_148,Categoria_37,Region_17,1,115.87,115.87,2025-11-11
63,Cliente_F_14,F,35,Producto_148,Categoria_28,Region_37,3,118.38,355.14,2025-11-13
64,Cliente_F_14,F,18,Producto_146,Categoria_54,Region_40,4,195.66,782.64,2025-10-03
65,Cliente_F_14,F,30,Producto_155,Categoria_26,Region_31,4,29.43,117.72,2025-02-21
66,Cliente_F_14,F,31,Producto_16,Categoria_47,Region_39,2,181.08,362.16,2025-06-07
67,Cliente_F_14,F,47,Producto_168,Categoria_33,Region_13,1,40.85,40.85,2025-01-26
68,Cliente_F_14,F,51,Producto_16,Categoria_97,Region_36,5,146.35,731.75,2025-06-10
69,Cliente_F_14,F,33,Producto_179,Categoria_95,Region_28,5,60.46,302.3,2025-01-06
70,Cliente_F_14,F,26,Producto_155,Categoria_49,Region_36,3,156.42,469.26,2025-05-26
71,Cliente_F_5,F,20,Producto_183,Categoria_19,Region_44,3,71.67,215.01,2025-06-18
72,Cliente_F_5,F,49,Producto_253,Categoria_15,Region_43,3,146.8,440.4,2025-03-27
73,Cliente_F_5,F,28,Producto_273,Categoria_8,Region_14,4,29.84,119.36,2025-11-01
74,Cliente_F_5,F,18,Producto_281,Categoria_21,Region_50,5,48.79,243.95,2025-05-17
75,Cliente_F_5,F,21,Producto_253,Categoria_45,Region_12,1,64.22,64.22,2025-03-27
76,Cliente_F_5,F,29,Producto_64,Categoria_35,Region_40,3,28.58,85.74,2025-12-12
77,Cliente_F_5,F,40,Producto_36,Categoria_12,Region_23,1,158.78,158.78,2025-07-18
78,Cliente_F_5,F,64,Producto_210,Categoria_59,Region_4,2,142.01,284.02,2025-01-19
79,Cliente_F_5,F,46,Producto_253,Categoria_99,Region_13,1,61.11,61.11,2025-10-01
80,Cliente_F_5,F,22,Producto_206,Categoria_60,,2,113.13,226.26,2025-12-05
81,Cliente_F_49,F,51,Producto_160,Categoria_45,Region_33,2,95.75,191.5,2025-01-26
82,Cliente_F_49,F,28,Producto_277,Categoria_97,Region_50,2,88.48,176.96,2025-04-10
83,Cliente_F_49,F,34,Producto_248,Categoria_41,Region_47,4,153.9,615.6,2025-07-02
84,Cliente_F_49,F,23,Producto_95,Categoria_54,Region_27,4,166.8,667.2,2025-07-27
85,Cliente_F_49,F,54,Producto_248,Categoria_66,Region_31,4,151.76,607.04,2025-07-21
86,Cliente_F_49,F,32,Producto_248,Categoria_31,Region_13,2,124.06,248.12,2025-07-25
87,Cliente_F_49,F,57,Producto_160,Categoria_93,Region_3,1,186.71,186.71,2025-05-03
88,Cliente_F_49,F,31,Producto_160,Categoria_6,Region_20,4,156.25,625.0,2025-06-08
89,Cliente_F_49,F,15,Producto_248,Categoria_82,Region_9,1,91.62,91.62,2025-04-22
90,Cliente_F_49,F,19,Producto_248,Categoria_67,Region_13,1,154.53,154.53,2025-08-06
91,Cliente_F_69,F,28,Producto_193,Categoria_35,Region_38,1,72.59,72.59,2025-02-20
92,Cliente_F_69,F,25,Producto_28,Categoria_99,Region_15,1,37.38,37.38,2025-11-14
93,Cliente_F_69,F,40,Producto_164,Categoria_55,Region_8,2,88.3,176.6,2025-03-04
94,Cliente_F_69,F,48,Producto_275,Categoria_35,Region_47,3,29.73,89.19,2025-10-04
95,Cliente_F_69,F,32,Producto_137,Categoria_67,Region_5,3,84.1,252.3,2025-11-18
96,Cliente_F_69,F,26,Producto_159,Categoria_54,Region_11,1,160.63,160.63,2025-11-27
97,Cliente_F_69,F,20,Producto_159,Categoria_40,Region_13,3,81.66,244.98,2025-01-08
98,Cliente_F_69,F,34,Producto_275,Categoria_46,Region_17,4,100.95,403.8,2025-02-22
99,Cliente_F_69,F,69,Producto_159,Categoria_87,Region_2,3,155.26,465.78,2025-05-26
100,Cliente_F_69,F,26,Producto_195,Categoria_9,Region_9,2,164.12,328.24,2025-12-27
101,Cliente_F_72,F,38,Producto_49,Categoria_17,Region_11,2,116.44,232.88,2025-03-02
102,Cliente_F_72,F,50,Producto_255,Categoria_24,Region_3,1,90.93,90.93,2025-07-26
103,Cliente_F_72,F,29,Producto_48,Categoria_85,Region_37,1,105.57,105.57,2025-08-11
104,Cliente_F_72,F,31,Producto_31,Categoria_90,Region_2,4,169.22,676.88,2025-02-15
105,Cliente_F_72,F,70,Producto_247,Categoria_35,Region_3,5,183.86,919.3,2025-02-02
106,Cliente_F_72,F,56,Producto_10,Categoria_41,Region_24,4,144.21,576.84,2025-09-01
107,Cliente_F_72,F,59,Producto_16,Categoria_53,Region_46,2,101.31,202.62,2025-12-16
108,Cliente_F_72,F,26,Producto_83,Categoria_82,Region_33,1,196.22,196.22,2025-03-17
109,Cliente_F_72,F,35,Producto_188,Categoria_91,Region_40,2,95.73,191.46,2025-05-19
110,Cliente_F_72,F,31,Producto_49,Categoria_38,Region_34,4,116.06,464.24,2025-01-26
111,Cliente_F_43,F,46,Producto_166,Categoria_95,Region_12,4,155.03,620.12,2025-06-12
112,Cliente_F_43,F,66,Producto_42,Categoria_39,Region_21,3,166.48,499.44,2025-02-21
113,Cliente_F_43,F,46,Producto_144,Categoria_46,Region_1,5,38.57,192.85,2025-05-25
114,Cliente_F_43,F,23,Producto_268,Categoria_95,Region_4,4,66.62,266.48,2025-14-99
115,Cliente_F_43,F,62,Producto_271,Categoria_80,Region_18,1,153.28,153.28,2025-08-21
116,Cliente_F_43,F,49,Producto_244,Categoria_11,Region_45,2,137.71,275.42,2025-09-10
117,Cliente_F_43,F,25,Producto_251,Categoria_81,Region_8,3,160.5,481.5,2025-06-22
118,Cliente_F_43,F,23,Producto_169,Categoria_9,Region_41,5,100.36,501.8,2025-09-05
119,Cliente_F_43,F,32,Producto_118,Categoria_34,Region_43,3,127.15,381.45,2025-01-05
120,Cliente_F_43,F,53,Producto_164,Categoria_29,Region_21,2,38.28,76.56,2025-02-27
121,Cliente_F_44,F,61,Producto_44,Categoria_83,Region_47,2,183.52,367.04,2025-11-21
122,Cliente_F_44,F,27,Producto_154,Categoria_38,Region_23,2,196.52,393.04,2025-02-17
123,Cliente_F_44,F,24,Producto_249,Categoria_75,Region_48,4,32.7,130.8,2025-06-08
124,Cliente_F_44,F,31,Producto_44,Categoria_95,Region_26,4,197.27,789.08,2025-11-05
125,Cliente_F_44,F,25,Producto_240,Categoria_67,Region_32,4,72.44,289.76,2025-07-16
126,Cliente_F_44,F,34,Producto_148,Categoria_63,Region_37,3,180.53,541.59,2025-03-15
127,Cliente_F_44,F,22,Producto_44,Categoria_87,Region_45,1,80.04,80.04,2025-02-20
128,Cliente_F_44,F,19,Producto_154,Categoria_7,Region_46,1,75.6,75.6,2025-09-03
129,Cliente_F_44,F,41,Producto_44,Categoria_16,Region_24,2,152.05,304.1,2025-12-03
130,Cliente_F_44,F,19,Producto_44,Categoria_95,Region_22,4,183.45,733.8,2025-08-12
131,Cliente_F_100,F,27,Producto_99,Categoria_43,Region_49,3,32.9,98.7,2025-10-25
132,Cliente_F_100,F,29,Producto_152,Categoria_15,Region_16,4,103.38,413.52,2025-04-27
133,Cliente_F_100,F,20,Producto_22,Categoria_55,Region_25,5,60.87,304.35,2025-07-08
134,Cliente_F_100,F,24,Producto_60,Categoria_77,Region_22,4,169.05,676.2,2025-07-14
74,Cliente_F_5,F,18,Producto_281,Categoria_21,Region_50,5,48.79,243.95,2025-05-17
136,Cliente_F_100,F,24,Producto_140,Categoria_34,Region_26,3,196.82,590.46,2025-04-21
74,Cliente_F_5,F,18,Producto_281,Categoria_21,Region_50,5,48.79,243.95,2025-05-17
138,Cliente_F_100,F,35,Producto_138,Categoria_34,Region_32,2,50.25,100.5,2025-06-03
139,Cliente_F_100,F,31,Producto_99,Categoria_97,Region_42,3,60.57,181.71,2025-10-28
140,Cliente_F_100,F,21,Producto_3,Categoria_7,Region_38,1,68.0,68.0,2025-14-99
141,Cliente_M_21,M,70,Producto_216,Categoria_18,Region_43,1,122.23,122.23,2025-03-21
142,Cliente_M_21,M,23,Producto_216,Categoria_91,Region_1,3,118.03,354.09,2025-04-08
143,Cliente_M_21,M,31,Producto_93,Categoria_74,Region_18,4,66.16,264.64,2025-06-18
144,Cliente_M_21,M,22,Producto_39,Categoria_62,Region_45,5,145.09,725.45,2025-05-19
145,Cliente_M_21,M,28,Producto_289,Categoria_30,Region_41,5,119.04,595.2,2025-02-22
146,Cliente_M_21,M,36,Producto_93,Categoria_88,Region_41,4,129.5,518.0,2025-06-10
147,Cliente_M_21,M,33,Producto_118,Categoria_57,Region_5,2,171.37,342.74,2025-01-10
148,Cliente_M_21,M,56,Producto_118,Categoria_54,Region_44,3,43.65,130.95,2025-03-23
149,Cliente_M_21,M,22,Producto_54,Categoria_2,Region_21,2,190.57,381.14,2025-14-99
150,Cliente_M_21,M,25,Producto_8,Categoria_94,Region_5,5,191.77,958.85,2025-03-28
151,Cliente_M_18,M,59,Producto_205,Categoria_37,Region_1,3,129.79,389.37,2025-11-26
152,Cliente_M_18,M,24,Producto_149,Categoria_17,Region_5,2,86.85,173.7,2025-09-16
153,Cliente_M_18,M,44,Producto_265,Categoria_79,Region_25,4,83.88,335.52,2025-05-04
154,Cliente_M_18,M,23,Producto_23,Categoria_55,Region_8,5,168.46,842.3,2025-04-03
155,Cliente_M_18,M,24,Producto_284,Categoria_29,Region_7,4,156.89,627.56,2025-06-07
156,Cliente_M_18,M,22,Producto_141,Categoria_85,Region_11,3,99.99,299.97,2025-11-23
157,Cliente_M_18,M,25,Producto_90,Categoria_61,Region_7,5,66.69,333.45,2025-07-11
158,Cliente_M_18,M,34,Producto_90,Categoria_24,Region_36,1,190.85,190.85,2025-08-28
159,Cliente_M_18,M,25,Producto_81,Categoria_3,Region_33,1,134.96,134.96,2025-10-18
160,Cliente_M_18,M,23,Producto_205,Categoria_10,Region_46,2,56.78,113.56,2025-07-18
161,Cliente_M_44,M,43,Producto_15,Categoria_97,Region_10,4,145.6,582.4,2025-05-10
162,Cliente_M_44,M,25,Producto_149,Categoria_70,Region_44,3,194.47,583.41,2025-03-25
163,Cliente_M_44,M,59,Producto_197,Categoria_14,Region_3,1,25.62,25.62,2025-04-07
164,Cliente_M_44,M,68,Producto_4,Categoria_53,Region_49,3,162.65,487.95,2025-04-03
165,Cliente_M_44,M,20,Producto_149,Categoria_53,Region_38,2,179.65,359.3,2025-03-18
166,Cliente_M_44,M,23,Producto_149,Categoria_37,Region_21,3,82.49,247.47,2025-05-27
167,Cliente_M_44,M,22,Producto_106,Categoria_56,Region_34,2,43.57,87.14,2025-01-04
168,Cliente_M_44,M,20,Producto_18,Categoria_9,Region_30,1,36.13,36.13,2025-03-06
169,Cliente_M_44,M,19,Producto_30,Categoria_72,Region_47,1,100.94,100.94,2025-06-22
170,Cliente_M_44,M,46,Producto_111,Categoria_93,Region_31,3,32.29,96.87,2025-09-01
171,Cliente_F_95,F,51,Producto_267,Categoria_76,Region_37,2,60.2,120.4,2025-01-13
172,Cliente_F_95,F,21,Producto_68,Categoria_10,Region_4,2,23.3,46.6,2025-03-04
74,Cliente_F_5,F,18,Producto_281,Categoria_21,Region_50,5,48.79,243.95,2025-05-17
174,Cliente_F_95,F,39,Producto_68,Categoria_48,Region_23,5,95.34,476.7,2025-05-07
175,Cliente_F_95,F,47,Producto_108,Categoria_41,Region_13,4,44.75,179.0,2025-09-16
176,Cliente_F_95,F,32,Producto_177,Categoria_98,Region_49,5,47.76,238.8,2025-04-16
177,Cliente_F_95,F,19,Producto_108,Categoria_71,Region_35,3,153.36,460.08,2025-03-04
178,Cliente_F_95,F,28,Producto_68,Categoria_89,,2,88.11,176.22,2025-05-17
179,Cliente_F_95,F,30,Producto_108,Categoria_62,Region_1,3,170.44,511.32,2025-08-09
180,Cliente_F_95,F,19,Producto_269,Categoria_48,Region_6,1,26.72,26.72,2025-06-17
181,Cliente_M_95,M,22,Producto_71,Categoria_75,Region_19,3,184.14,552.42,2025-01-27
182,Cliente_M_95,M,33,Producto_297,Categoria_19,Region_26,4,21.43,85.72,2025-06-07
183,Cliente_M_95,M,22,Producto_75,Categoria_87,Region_27,1,131.89,131.89,2025-11-24
184,Cliente_M_95,M,53,Producto_207,Categoria_24,Region_10,3,95.58,286.74,2025-11-11
185,Cliente_M_95,M,41,Producto_39,Categoria_50,Region_32,4,96.13,384.52,2025-12-13
186,Cliente_M_95,M,33,Producto_39,Categoria_22,Region_34,4,187.46,749.84,2025-05-14
187,Cliente_M_95,M,18,Producto_266,Categoria_26,Region_4,2,170.3,340.6,2025-14-99
188,Cliente_M_95,M,31,Producto_75,Categoria_69,Region_20,4,105.93,423.72,2025-12-09
189,Cliente_M_95,M,20,Producto_39,Categoria_72,Region_1,1,128.67,128.67,2025-10-04
190,Cliente_M_95,M,34,Producto_266,Categoria_12,Region_1,1,47.25,47.25,2025-08-15
191,Cliente_F_90,F,62,Producto_139,Categoria_66,Region_41,1,162.86,162.86,2025-06-24
192,Cliente_F_90,F,23,Producto_254,Categoria_7,Region_33,5,182.7,913.5,2025-01-14
193,Cliente_F_90,F,24,Producto_191,Categoria_44,,3,25.58,76.74,2025-10-13
194,Cliente_F_90,F,33,Producto_191,Categoria_40,Region_32,2,159.83,319.66,2025-12-23
195,Cliente_F_90,F,20,Producto_55,Categoria_4,,5,141.71,708.55,2025-08-05
196,Cliente_F_90,F,29,Producto_191,Categoria_13,Region_8,3,35.51,106.53,2025-06-15
197,Cliente_F_90,F,29,Producto_284,Categoria_22,Region_33,4,77.89,311.56,2025-02-23
198,Cliente_F_90,F,24,Producto_232,Categoria_90,Region_50,2,47.81,95.62,2025-09-13
199,Cliente_F_90,F,22,Producto_20,Categoria_15,Region_9,2,165.53,331.06,2025-12-01
200,Cliente_F_90,F,21,Producto_278,Categoria_39,Region_35,3,140.48,421.44,2025-04-17
201,Cliente_M_32,M,21,Producto_151,Categoria_60,Region_35,3,178.03,534.09,2025-11-05
202,Cliente_M_32,M,18,Producto_83,Categoria_50,Region_45,3,143.06,429.18,2025-05-17
203,Cliente_M_32,M,54,Producto_151,Categoria_24,Region_44,1,32.29,32.29,2025-10-13
204,Cliente_M_32,M,37,Producto_27,Categoria_64,Region_8,4,199.31,797.24,2025-11-26
205,Cliente_M_32,M,26,Producto_227,Categoria_84,Region_26,3,68.17,204.51,2025-05-06
206,Cliente_M_32,M,48,Producto_218,Categoria_37,Region_10,4,22.75,91.0,2025-07-02
207,Cliente_M_32,M,51,Producto_83,Categoria_19,Region_26,5,77.33,386.65,2025-03-17
208,Cliente_M_32,M,19,Producto_3,Categoria_73,Region_39,3,173.41,520.23,2025-11-05
209,Cliente_M_32,M,24,Producto_3,Categoria_69,Region_25,1,118.23,118.23,2025-08-17
210,Cliente_M_32,M,50,Producto_11,Categoria_15,Region_25,1,104.44,104.44,2025-02-22
211,Cliente_F_21,F,34,Producto_115,Categoria_68,Region_26,3,80.16,240.48,2025-05-25
212,Cliente_F_21,F,35,Producto_231,Categoria_1,Region_11,4,93.7,374.8,2025-08-01
213,Cliente_F_21,F,120,Producto_8,Categoria_75,Region_17,4,51.13,204.52,2025-08-16
214,Cliente_F_21,F,18,Producto_61,Categoria_82,,3,126.63,379.89,2025-10-04
215,Cliente_F_21,F,31,Producto_136,Categoria_34,Region_6,1,177.39,177.39,2025-04-24
216,Cliente_F_21,F,24,Producto_290,Categoria_14,Region_32,4,199.85,799.4,2025-01-12
217,Cliente_F_21,F,21,Producto_98,Categoria_53,Region_40,2,64.83,129.66,2025-04-21
218,Cliente_F_21,F,65,Producto_99,Categoria_77,Region_37,4,127.05,508.2,2025-12-22
219,Cliente_F_21,F,26,Producto_136,Categoria_98,Region_41,4,119.13,476.52,2025-14-99
220,Cliente_F_21,F,31,Producto_206,Categoria_2,Region_31,2,71.89,143.78,2025-02-25
221,Cliente_M_1,M,21,Producto_240,Categoria_97,Region_18,4,27.09,108.36,2025-07-01
222,Cliente_M_1,M,32,Producto_78,Categoria_70,Region_1,2,147.77,295.54,2025-02-26
223,Cliente_M_1,M,34,Producto_240,Categoria_7,Region_22,3,148.5,445.5,2025-03-18
224,Cliente_M_1,M,30,Producto_151,Categoria_23,Region_44,4,74.17,296.68,2025-01-12
225,Cliente_M_1,M,20,Producto_185,Categoria_85,Region_18,3,178.08,534.24,2025-07-27
226,Cliente_M_1,M,24,Producto_151,Categoria_28,Region_50,3,52.06,156.18,2025-07-05
227,Cliente_M_1,M,30,Producto_151,Categoria_65,Region_7,2,128.6,257.2,2025-12-11
228,Cliente_M_1,M,27,Producto_249,Categoria_90,Region_11,2,197.87,395.74,2025-03-20
229,Cliente_M_1,M,30,Producto_236,Categoria_58,Region_3,4,35.77,143.08,2025-05-11
230,Cliente_M_1,M,30,Producto_236,Categoria_97,Region_36,5,109.97,549.85,2025-03-17
231,Cliente_F_56,F,64,Producto_159,Categoria_49,Region_18,4,56.91,227.64,2025-06-13
232,Cliente_F_56,F,32,Producto_159,Categoria_14,Region_42,3,50.99,152.97,2025-09-14
233,Cliente_F_56,F,22,Producto_38,Categoria_83,Region_44,3,80.13,240.39,2025-03-14
234,Cliente_F_56,F,56,Producto_266,Categoria_91,Region_8,2,142.9,285.8,2025-07-10
235,Cliente_F_56,F,19,Producto_38,Categoria_96,Region_40,2,114.28,228.56,2025-08-27
236,Cliente_F_56,F,18,Producto_83,Categoria_23,Region_22,2,93.54,187.08,2025-14-99
237,Cliente_F_56,F,24,Producto_33,Categoria_54,Region_19,1,88.75,88.75,2025-07-12
238,Cliente_F_56,F,33,Producto_159,Categoria_1,Region_35,5,102.85,514.25,2025-05-13
239,Cliente_F_56,F,43,Producto_103,Categoria_76,Region_35,1,116.59,116.59,2025-07-10
240,Cliente_F_56,F,35,Producto_179,Categoria_79,Region_38,2,166.03,332.06,2025-06-11
241,Cliente_F_99,F,64,Producto_146,Categoria_27,Region_38,4,96.35,385.4,2025-07-23
242,Cliente_F_99,F,18,Producto_297,Categoria_43,Region_4,4,170.92,683.68,2025-06-11
243,Cliente_F_99,F,25,Producto_289,Categoria_41,Region_24,2,127.27,254.54,2025-05-22
244,Cliente_F_99,F,53,Producto_139,Categoria_94,Region_17,4,118.98,475.92,2025-02-19
245,Cliente_F_99,F,27,Producto_75,Categoria_66,Region_22,2,88.4,176.8,2025-05-07
246,Cliente_F_99,F,24,Producto_297,Categoria_44,Region_18,4,152.47,609.88,2025-01-21
247,Cliente_F_99,F,55,Producto_269,Categoria_23,Region_31,2,168.34,336.68,2025-12-02
248,Cliente_F_99,F,35,Producto_297,Categoria_2,Region_46,1,154.86,154.86,2025-06-03
249,Cliente_F_99,F,18,Producto_233,Categoria_88,Region_16,5,155.45,777.25,2025-05-27
250,Cliente_F_99,F,24,Producto_233,Categoria_27,Region_21,1,71.25,71.25,2025-09-09
251,Cliente_M_77,M,33,Producto_39,Categoria_71,Region_50,3,56.92,170.76,2025-06-14
252,Cliente_M_77,M,68,Producto_9,Categoria_83,Region_50,2,180.77,361.54,2025-07-06
253,Cliente_M_77,M,20,Producto_180,Categoria_1,Region_37,2,98.79,197.58,2025-03-13
254,Cliente_M_77,M,22,Producto_246,Categoria_33,Region_4,3,56.2,168.6,2025-01-16
255,Cliente_M_77,M,31,Producto_53,Categoria_97,Region_27,2,120.62,241.24,2025-07-03
256,Cliente_M_77,M,34,Producto_34,Categoria_15,Region_13,1,164.45,164.45,2025-03-21
257,Cliente_M_77,M,54,Producto_99,Categoria_83,Region_45,1,80.39,80.39,2025-05-24
258,Cliente_M_77,M,22,Producto_39,Categoria_30,Region_35,5,61.83,309.15,2025-09-05
74,Cliente_F_5,F,18,Producto_281,Categoria_21,Region_50,5,48.79,243.95,2025-05-17
260,Cliente_M_77,M,20,Producto_290,Categoria_2,Region_46,2,190.21,380.42,2025-12-14
261,Cliente_M_49,M,47,Producto_227,Categoria_46,Region_42,4,99.05,396.2,2025-05-10
262,Cliente_M_49,M,30,Producto_54,Categoria_16,Region_32,1,72.98,72.98,2025-07-08
263,Cliente_M_49,M,66,Producto_7,Categoria_11,Region_22,4,42.35,169.4,2025-01-10
264,Cliente_M_49,M,33,Producto_95,Categoria_41,Region_11,3,84.54,253.62,2025-08-26
265,Cliente_M_49,M,29,Producto_124,Categoria_80,Region_29,4,38.06,152.24,2025-09-07
266,Cliente_M_49,M,22,Producto_227,Categoria_60,Region_35,2,95.84,191.68,2025-04-19
267,Cliente_M_49,M,64,Producto_82,Categoria_40,Region_49,2,140.03,280.06,2025-06-22
268,Cliente_M_49,M,32,Producto_34,Categoria_96,Region_28,5,79.81,399.05,2025-09-23
269,Cliente_M_49,M,59,Producto_196,Categoria_96,Region_32,2,74.53,149.06,2025-10-28
270,Cliente_M_49,M,52,Producto_123,Categoria_58,Region_10,5,121.44,607.2,2025-09-22
271,Cliente_F_9,F,28,Producto_187,Categoria_80,Region_35,5,67.07,335.35,2025-07-16
272,Cliente_F_9,F,67,Producto_30,Categoria_1,Region_24,4,115.6,462.4,2025-07-02
273,Cliente_F_9,F,35,Producto_16,Categoria_13,Region_45,2,108.73,217.46,2025-11-17
274,Cliente_F_9,F,32,Producto_69,Categoria_4,Region_28,4,64.39,257.56,2025-06-07
275,Cliente_F_9,F,56,Producto_238,Categoria_53,Region_5,4,131.52,526.08,2025-03-28
276,Cliente_F_9,F,64,Producto_69,Categoria_19,Region_7,5,77.28,386.4,2025-07-01
277,Cliente_F_9,F,30,Producto_69,Categoria_41,Region_27,5,199.95,999.75,2025-01-05
278,Cliente_F_9,F,34,Producto_61,Categoria_23,Region_20,1,192.77,192.77,2025-11-06
